cod_ibge,pop_total,pop_urbana_pct,perc_jovens_15_29,renda_per_capita,taxa_desemprego,taxa_analfabetismo_15,perc_esgoto_adequado,gini,idhm,idhm_renda,idhm_longevidade,idhm_educacao,perc_pobres,pib_per_capita,densidade_demografica,taxa_homicidios,alta_violencia
1101104,8548.0,69.2092,22.9644,1014.42,5.2071,8.43,0.5498,0.47,0.614,0.633,0.751,0.488,17.61,24558.61020121666,2.094286503195698,58.4932147870847,1
1101203,6466.0,45.8552,21.095,1209.48,2.2651,11.25,5.5812,0.54,0.638,0.647,0.776,0.518,26.14,46068.04825239715,8.101914211930339,0.0,0
1101302,9235.0,54.0011,21.7325,1199.72,2.8256,11.05,7.7822,0.6,0.643,0.673,0.8,0.494,24.22,28438.224147265835,7.748295752490823,21.65674066053059,1
1101401,11548.0,45.6096,22.151,1241.8,2.6508,10.33,0.1658,0.47,0.607,0.645,0.762,0.454,20.75,33753.11742293038,5.979150637524089,60.616556979563555,1
1101435,6200.0,27.2097,21.1613,920.17,2.6049,9.69,0.8969,0.47,0.587,0.608,0.753,0.442,27.74,25374.354838709678,7.681443120152638,32.25806451612903,1
1101450,4125.0,35.2485,21.6,1014.39,2.717,10.35,4.1161,0.52,0.617,0.604,0.8,0.485,25.68,37680.0,1.6184829576687254,48.484848484848484,1
1101468,2156.0,56.7254,20.7328,911.62,1.7981,8.96,5.2703,0.49,0.665,0.662,0.816,0.545,18.52,114197.12430426716,0.35845315161953156,92.7643784786642,1
1101476,3076.0,45.1886,17.4902,919.32,2.2512,13.59,0.2648,0.52,0.641,0.645,0.799,0.512,25.19,34795.18855656697,5.078488736849752,0.0,0
1101484,5258.0,41.1563,17.7824,1362.82,2.2695,9.37,32.5516,0.47,0.649,0.615,0.78,0.571,23.32,24852.605553442372,9.707429377435856,0.0,0
1101492,16286.0,56.8587,23.6645,1172.03,2.3459,7.39,0.2587,0.56,0.611,0.657,0.751,0.462,24.53,29973.044332555568,1.4874970692581229,36.8414589217733,1
1101500,11171.0,45.5286,23.6416,1027.63,1.9608,6.87,14.528,0.63,0.598,0.644,0.779,0.427,29.55,29808.07447856056,2.513716756709077,98.46925073851939,1
1101559,4256.0,38.5573,20.4182,1179.05,0.8309,10.2,0.3161,0.43,0.643,0.653,0.818,0.498,17.73,28501.879699248122,9.253481470207747,23.496240601503757,1
1101609,8113.0,30.7038,18.5628,1102.84,1.1866,10.03,0.2328,0.57,0.589,0.622,0.757,0.434,32.94,31731.295451744114,3.6920688100052197,24.65179341797116,1
1101708,10725.0,51.2541,21.4079,1121.21,4.6977,9.32,3.5949,0.51,0.609,0.621,0.772,0.471,26.03,25501.6317016317,12.89284095703949,46.62004662004662,1
1101757,7788.0,45.1079,19.9795,1095.38,3.6316,11.34,0.0714,0.57,0.584,0.626,0.756,0.421,32.09,28370.313302516694,2.4841265335207163,38.52080123266564,1
1101807,6479.0,39.3579,20.0957,1218.98,2.1014,9.12,0.0409,0.59,0.627,0.641,0.792,0.485,30.25,28653.80459947523,6.7092896582290535,15.43448062972681,1
1200013,14021.0,55.3812,25.041,880.5,5.8069,10.63,0.8518,0.54,0.604,0.584,0.808,0.466,36.56,28437.700591969187,7.739477517648559,35.66079452250196,1
1200054,8100.0,59.4815,25.6667,775.86,7.0114,14.62,6.5952,0.61,0.588,0.578,0.77,0.456,44.09,16532.83950617284,1.6320951305938045,49.382716049382715,1
1200104,26000.0,64.4,25.9962,914.18,3.333,11.44,33.4911,0.58,0.614,0.619,0.77,0.485,35.22,26370.615384615383,6.617763094262399,73.07692307692308,1
1200138,12917.0,46.0014,24.5645,709.71,4.4105,17.67,3.7443,0.58,0.589,0.603,0.772,0.439,37.61,23289.463497716188,4.2552462538053275,23.2252070914299,1
1200179,10392.0,40.6563,24.6247,806.69,1.4622,17.52,1.1246,0.56,0.575,0.601,0.794,0.398,35.0,49302.636643571976,6.09417112939206,28.868360277136258,1
1200203,91888.0,74.2371,29.1518,905.21,9.1395,11.88,8.5911,0.64,0.664,0.648,0.776,0.582,34.51,22403.687097335885,10.449725536630503,11.971095246386906,0
1200252,18757.0,68.8863,26.0916,1026.76,3.4533,10.39,4.6627,0.6,0.653,0.654,0.771,0.553,29.44,34362.744575358534,11.349204188259923,31.988057791757743,1
1200302,35426.0,51.1291,28.7839,610.92,3.7329,20.26,3.3953,0.68,0.539,0.559,0.723,0.388,54.93,16006.323039575453,1.2676316139294916,42.341782871337436,1
1200328,9222.0,39.8395,29.5272,542.04,1.3274,17.59,3.4448,0.71,0.469,0.499,0.731,0.283,69.69,12359.032747777055,1.7248851245585148,21.687269572760787,1
1200336,19294.0,65.9635,27.7599,695.9,2.7108,14.19,1.2857,0.61,0.625,0.58,0.77,0.546,45.68,13952.783248678346,3.563677602986293,20.73183373069348,1
1200344,11996.0,56.0604,27.9593,622.38,17.7499,22.01,15.4534,0.59,0.551,0.586,0.767,0.373,38.12,15413.804601533844,1.134025218542806,25.008336112037348,1
1200351,17093.0,34.482,30.9717,516.91,2.8471,20.83,1.7126,0.59,0.501,0.479,0.726,0.361,63.82,15027.496636049846,2.088170312993433,17.551044287135085,1
1200385,16560.0,64.849,24.6981,992.54,6.7697,15.62,5.8537,0.55,0.622,0.593,0.786,0.517,36.79,36320.71256038648,8.481299400624113,12.077294685990339,1
1200393,10735.0,46.1202,30.8058,603.27,4.4202,17.63,5.1704,0.61,0.532,0.521,0.726,0.397,53.25,14954.354913833256,1.663630237994432,18.63064741499767,1
1200401,364756.0,93.494,26.1756,1436.01,5.8892,6.63,68.191,0.59,0.727,0.729,0.798,0.661,14.38,30035.626555834584,41.286132128616835,21.932469925100616,1
1200427,14938.0,38.0774,29.2676,633.26,9.2681,17.19,1.9299,0.63,0.567,0.518,0.736,0.477,60.87,17114.004552148883,4.846226866225582,13.388673182487615,1
1200435,6723.0,48.9514,26.625,449.8,0.916,24.29,4.2411,0.78,0.517,0.519,0.781,0.34,73.4,16145.322028856166,1.080461691260844,0.0,0
1200450,21454.0,62.2495,24.8625,974.21,5.6381,10.8,0.589,0.55,0.64,0.649,0.786,0.513,23.3,36341.568005966255,9.243644617324144,60.594760883751285,1
1200500,41343.0,65.1694,28.5828,794.44,4.1119,16.75,17.2408,0.54,0.603,0.593,0.81,0.456,37.59,18094.81653484266,1.7420631584802169,33.863048158092056,1
1200609,43467.0,56.1667,29.634,604.36,6.4987,22.94,2.5282,0.65,0.539,0.554,0.72,0.392,54.76,16377.573791612027,2.1550872518559596,23.005958543262707,1
1200708,18243.0,56.5039,26.6458,898.65,6.0731,13.5,21.3793,0.58,0.599,0.621,0.773,0.448,33.64,24940.0317930165,3.4097153430648746,10.963109137751466,0
1200807,16693.0,56.7004,24.9745,733.17,5.3694,14.58,1.395,0.6,0.576,0.593,0.771,0.418,41.47,28234.28982208111,6.410665060896133,23.962139819085845,1
1300029,15866.0,55.0233,29.8437,494.91,4.2441,12.52,3.8846,0.58,0.527,0.499,0.778,0.377,60.76,13698.033530820623,2.678762575799222,6.3027858313374505,0
1300060,10819.0,71.8273,27.4609,556.4,6.2476,13.83,1.8553,0.64,0.56,0.499,0.773,0.455,62.64,10987.337092152695,2.2757155967606124,0.0,0
1300086,9962.0,48.2935,29.5623,559.76,7.1231,11.29,3.3247,0.58,0.594,0.537,0.741,0.526,51.08,13912.768520377434,4.072570408413974,40.15257980325236,1
1300102,17194.0,63.1034,27.3991,624.85,5.8471,16.25,3.9547,0.6,0.561,0.54,0.757,0.433,52.29,14448.935675235547,2.8485662487145915,23.263929277655,1
1300144,20647.0,52.9859,24.6331,1009.03,3.1297,9.98,1.0364,0.56,0.637,0.621,0.772,0.54,26.84,14423.887247542016,0.38065621170761116,4.843318641933453,0
1300201,15314.0,51.8023,28.2878,556.2,7.7675,21.22,1.9469,0.65,0.45,0.481,0.733,0.259,63.67,12076.988376648818,0.20017197745248416,0.0,0
1300300,41564.0,44.7142,26.7106,649.03,3.5655,8.91,7.259,0.59,0.577,0.539,0.799,0.446,51.58,12182.200943123857,5.4311778144932115,2.4059282071023,0
1300409,18834.0,55.5379,26.484,595.57,11.1579,18.79,9.7578,0.74,0.5,0.545,0.728,0.315,60.97,13041.414463204843,0.1538159500279958,21.238186258893492,1
1300508,31051.0,54.6778,28.6979,521.15,5.9169,5.34,3.1327,0.6,0.574,0.469,0.774,0.522,68.75,11107.210717851276,5.398516803103047,6.441016392386718,0
1300607,37648.0,76.4822,27.6907,576.24,4.2413,11.09,2.6996,0.56,0.574,0.526,0.763,0.471,52.87,10326.737144071398,4.330964961494928,7.968550786230344,0
1300631,20718.0,58.3068,29.4913,608.58,6.9465,17.45,2.8973,0.65,0.506,0.512,0.731,0.346,64.14,10226.42146925379,1.1857300326565092,24.133603629693987,1
1300680,23785.0,49.918,28.4423,497.38,6.5472,3.49,4.0052,0.59,0.565,0.496,0.75,0.484,61.77,7669.203279377759,9.185500772956896,25.22598276224511,1
1300706,35447.0,62.4171,27.63,669.72,3.3824,19.71,7.4887,0.63,0.588,0.576,0.777,0.455,49.75,14466.555702880356,1.6157378988424185,16.92667926763901,1
1300805,33080.0,61.717,28.3857,567.31,4.699,11.43,1.4776,0.64,0.56,0.532,0.776,0.425,56.26,12156.318016928657,0.7478041053450722,18.13784764207981,1
1300839,13469.0,51.7113,30.1953,488.73,24.152,7.42,0.4719,0.58,0.569,0.544,0.775,0.436,50.44,13207.662038755661,1.424456078072334,0.0,0
1300904,16869.0,59.802,26.7769,601.49,2.2076,18.08,4.3278,0.61,0.53,0.522,0.752,0.379,57.35,9147.90444009722,0.5014158778781699,17.784101013693757,1
1301001,28742.0,78.9124,29.5943,579.82,4.0434,17.81,15.3018,0.54,0.549,0.534,0.745,0.416,48.31,12896.214598844896,1.1149533074995603,17.39614501426484,1
1301100,30792.0,42.0239,23.8536,698.24,9.8078,12.27,6.1321,0.66,0.557,0.515,0.779,0.431,60.88,12834.307612366849,5.051005444036394,25.98077422707197,1
1301159,19637.0,15.0736,24.2909,638.54,1.7155,11.78,0.7093,0.57,0.568,0.523,0.779,0.45,54.97,21050.771502775373,7.473718103395123,0.0,0
1301209,70616.0,74.9065,28.5983,580.54,12.2431,13.54,33.284,0.64,0.586,0.606,0.78,0.425,40.38,47869.108983799706,1.2181308222753926,38.234960915373286,1
1301308,23549.0,75.7442,28.2263,586.95,8.3322,13.7,36.5105,0.61,0.563,0.546,0.775,0.421,54.32,22590.980508726487,1.259232491139279,4.246464818038983,0
