cod_ibge,pop_total,pop_urbana_pct,perc_jovens_15_29,renda_per_capita,taxa_desemprego,taxa_analfabetismo_15,perc_esgoto_adequado
1300631,20718.0,58.3068,29.4913,608.58,6.9465,17.45,2.8973
1300680,23785.0,49.918,28.4423,497.38,6.5472,3.49,4.0052
1300706,35447.0,62.4171,27.63,669.72,3.3824,19.71,7.4887
1300805,33080.0,61.717,28.3857,567.31,4.699,11.43,1.4776
1300839,13469.0,51.7113,30.1953,488.73,24.152,7.42,0.4719
1300904,16869.0,59.802,26.7769,601.49,2.2076,18.08,4.3278
1301001,28742.0,78.9124,29.5943,579.82,4.0434,17.81,15.3018
1301100,30792.0,42.0239,23.8536,698.24,9.8078,12.27,6.1321
1301159,19637.0,15.0736,24.2909,638.54,1.7155,11.78,0.7093
1301209,70616.0,74.9065,28.5983,580.54,12.2431,13.54,33.284
1301308,23549.0,75.7442,28.2263,586.95,8.3322,13.7,36.5105
1301407,33170.0,78.0585,28.577,588.49,5.8824,23.33,0.5412
1301506,17186.0,74.4618,29.5764,579.21,4.3565,24.57,0.908
1301605,25871.0,69.8234,29.4036,638.8,6.5142,14.01,1.478
1301654,13815.0,67.0069,29.743,596.23,2.4644,20.95,2.9909
1301704,57473.0,73.4467,28.3629,871.32,7.3136,10.81,11.5427
1301803,24311.0,67.9404,30.6034,508.99,4.2433,24.92,2.5801
1301852,61163.0,76.2585,25.5236,805.81,10.0942,8.26,4.2293
1301902,103598.0,70.4869,27.1453,734.27,9.962,6.14,8.1731
1301951,10937.0,67.6694,30.2825,525.38,5.4513,23.1,0.9859
1302009,10162.0,78.2622,26.422,687.95,6.5934,5.36,8.7341
1302108,8858.0,56.3897,30.21,823.6,4.1794,11.86,1.9597
1302207,10742.0,67.1663,31.3629,516.57,3.3835,20.13,22.6176
1302306,25172.0,64.2102,29.1355,566.68,1.7137,15.39,1.2797
1302405,45448.0,60.9202,29.2334,618.0,9.2593,19.42,28.7071
1302504,101883.0,65.1267,27.7779,680.39,8.219,10.0,13.1719
1302553,17107.0,38.5982,24.7267,568.36,1.8618,12.51,1.5335
1302603,2063689.0,99.0303,26.0658,1284.7,9.6849,2.96,50.6022
1302702,53914.0,56.9314,28.4286,701.45,5.0887,11.06,1.2161
1302801,15529.0,51.04,30.4656,518.13,3.885,15.76,7.4148
1302900,61204.0,47.7028,26.9214,488.47,9.7076,6.07,17.7304
1303007,20136.0,37.2269,26.3657,539.62,3.5784,9.25,4.5952
1303106,27062.0,60.8344,27.9654,537.7,8.8704,9.55,6.2654
1303205,15761.0,75.0968,25.4552,700.88,4.1265,9.4,10.1801
1303304,23818.0,75.1826,29.3266,630.53,3.1927,12.68,14.9007
1303403,96372.0,82.6744,28.5321,796.66,6.9495,3.69,9.9958
1303502,19373.0,61.4154,30.9864,454.55,12.8054,28.66,5.6818
1303536,30668.0,54.6889,25.2054,976.41,6.418,7.49,31.26
1303569,24936.0,56.7252,24.1779,801.1,4.8009,8.45,8.4807
1303601,14164.0,48.7292,26.4897,448.85,21.4407,15.49,3.9051
1303700,28211.0,77.6293,28.9107,489.41,3.8483,14.26,1.6752
1303809,51795.0,51.3563,27.9158,577.82,4.7632,8.9,3.3198
1303908,32967.0,73.158,27.7217,396.95,5.1478,17.72,5.4409
1303957,11670.0,81.6367,27.6949,657.76,2.9957,5.27,0.7505
1304005,11559.0,44.4848,25.9452,559.89,1.9428,5.0,4.1062
1304062,66764.0,83.3982,28.2982,669.6,3.7504,10.22,10.6655
1304104,19599.0,57.855,28.5321,541.23,9.2864,21.32,5.5927
1304203,73669.0,80.8807,29.6244,767.14,5.4207,8.82,13.9748
1304237,19247.0,58.9546,29.2773,432.01,6.4137,12.6,5.0296
1304260,14431.0,67.6599,30.6285,516.14,3.3563,15.1,1.7664
1304302,18631.0,66.2122,26.5418,690.49,3.2441,5.93,0.8179
1304401,23945.0,64.9948,29.7766,629.39,11.599,8.08,3.1334
1400027,13927.0,15.89,25.4757,493.7,3.2901,30.5,6.2417
1400050,21096.0,22.5777,25.4598,467.63,4.0222,33.77,9.7826
1400100,413486.0,97.263,27.7843,1399.0,4.6047,3.7,61.2868
1400159,13923.0,36.393,25.5117,583.73,1.8338,8.96,6.1464
1400175,18682.0,24.7725,22.7866,787.97,2.6637,9.01,1.4736
1400209,20957.0,53.0276,24.1351,714.44,5.137,12.93,34.6805
1400233,10656.0,46.4058,25.732,917.6,1.8764,7.71,11.3099
1400282,10023.0,42.5521,25.6211,781.65,5.5722,21.16,31.7607
1400308,18095.0,55.9326,24.4211,809.57,5.2286,10.9,29.0504
1400407,13986.0,23.1231,26.119,486.61,2.7489,7.33,0.4413
1400456,19305.0,47.9202,26.9308,578.04,5.958,5.58,6.3921
1400472,32647.0,74.4173,25.8523,831.4,3.2296,9.71,4.3919
1400506,8858.0,70.9754,26.0781,895.8,4.6276,9.12,4.9174
1400605,7315.0,59.6446,24.607,827.26,5.1152,8.3,4.4248
1400704,13751.0,7.6794,25.3436,288.65,2.3368,13.1,0.2138
1500107,158188.0,62.1981,27.3421,771.33,7.0306,8.71,4.4919
1500131,6136.0,87.4511,23.1421,923.2,3.4865,11.74,2.5
1500206,59023.0,22.1592,26.615,505.33,6.3114,17.79,2.2044
1500305,37765.0,31.4445,28.7197,476.09,5.3935,24.95,2.4342
1500347,18080.0,51.4491,24.6626,936.7,4.0624,12.54,0.1958
1500404,69377.0,50.6695,26.8028,562.3,5.1211,10.46,5.9421
1500503,34280.0,65.6359,26.689,773.03,9.6982,11.92,17.5625
1500602,126279.0,82.5173,25.9386,1245.26,4.4701,9.75,49.0865
1500701,28011.0,43.9327,30.1346,524.25,12.4784,23.21,0.2826
1500800,478778.0,99.6909,24.1392,1219.88,7.4404,2.87,31.4841
1500859,31850.0,49.7331,27.1994,765.01,5.4837,11.78,1.9711
1500909,44573.0,51.4751,26.949,479.94,5.295,15.28,3.9385
1500958,23774.0,42.6348,26.2093,574.32,5.7336,18.01,0.8719
1501006,18290.0,24.1498,25.8611,477.87,7.3159,8.74,5.6811
1501105,31892.0,40.772,30.5312,358.65,6.76,21.53,0.1914
1501204,51641.0,52.8863,28.4503,460.65,8.7238,9.45,2.7897
1501253,4031.0,39.9653,24.6837,995.23,5.8751,12.09,0.2268
1501303,126650.0,82.5006,26.6269,975.54,7.7646,5.69,15.1474
1501402,1303403.0,99.4806,22.8414,1668.52,7.7293,2.64,59.9118
1501451,18099.0,48.4999,25.6699,741.15,8.2848,6.99,1.1215
1501501,63567.0,94.8574,24.9186,818.99,7.8518,5.35,7.1718
1501576,18005.0,57.3896,25.0208,947.99,2.6487,14.66,1.9577
1501600,12622.0,54.8645,25.9864,739.25,5.0151,19.23,0.5458
1501709,123082.0,71.1786,26.0192,810.48,5.6737,9.86,4.6006
1501725,24718.0,54.2277,25.2084,763.34,4.1633,13.08,5.754
1501758,6783.0,55.9045,23.839,766.2,3.8407,13.8,1.5493
1501782,45712.0,62.3469,25.9647,725.32,6.1908,14.15,11.4839
1501808,106968.0,51.8931,29.3882,606.08,12.199,18.04,0.7514
1501907,24383.0,35.5165,26.9983,526.09,5.5587,9.6,3.4371
1501956,19630.0,36.434,27.8808,564.23,7.0141,20.39,0.2669
1502004,23981.0,47.3833,26.7128,488.54,5.4704,9.18,5.5267
1502103,134184.0,50.8354,28.6003,597.9,6.0233,7.06,3.9738
1502152,77079.0,89.9493,27.6093,1364.4,4.1045,4.84,59.7801
1502202,70394.0,84.814,24.8288,966.47,7.1041,9.39,5.1865
1502301,56506.0,55.2242,26.5618,704.58,3.9161,17.16,1.9821
1502400,192256.0,92.5157,25.5368,1055.05,5.0095,5.16,17.1864
1502509,20757.0,22.5755,27.846,584.29,16.2257,16.67,0.9899
1502608,12868.0,39.5788,23.7566,655.87,8.4628,6.5,3.0288
1502707,44617.0,74.3147,23.7398,1032.8,4.8111,9.9,2.2937
1502756,26881.0,61.3519,27.1009,699.98,5.3315,13.48,2.4096
1502764,14036.0,35.6298,26.8595,1007.72,1.3768,16.66,3.0336
1502772,19950.0,89.7494,25.5388,1036.35,8.2536,11.75,2.2288
1502806,33903.0,39.8637,30.4545,472.98,10.7335,15.42,0.441
1502855,14117.0,52.1216,27.4917,556.04,2.6936,6.69,4.8424
1502905,41262.0,59.9002,25.1394,614.45,11.8735,7.34,6.1743
1502939,58484.0,84.3325,26.8603,782.32,5.6649,12.88,3.3557
1502954,28192.0,61.1982,25.298,879.96,3.7191,12.47,2.4256
1503002,8728.0,82.4702,28.6893,594.92,9.6195,7.16,2.2901
1503044,17898.0,58.3808,25.3883,831.86,8.8804,13.01,0.3675
1503077,24703.0,57.4343,27.3691,620.45,2.502,18.13,0.9209
1503093,26362.0,63.6902,24.3608,829.0,4.2464,14.1,2.0992
1503101,31786.0,41.6158,30.4788,634.91,3.4556,16.47,0.3661
1503200,35797.0,69.4527,24.9518,718.26,4.597,10.06,0.9888
1503309,64831.0,44.5944,27.1629,617.29,5.9512,14.14,4.7976
1503408,10325.0,35.4383,25.3366,631.7,8.0266,11.06,0.6225
1503457,30329.0,51.2117,26.2851,594.25,9.122,18.88,12.9025
1503507,30955.0,28.9388,24.8167,616.62,5.3493,14.25,9.4227
1503606,123314.0,87.0007,27.6814,1074.37,2.2355,8.96,4.4385
1503705,49754.0,57.3984,26.1125,636.27,5.0421,16.11,5.4362
1503754,24042.0,42.2178,28.6956,787.87,1.019,11.01,1.0617
1503804,37707.0,89.376,23.916,905.18,4.919,13.03,10.4069
1503903,50881.0,58.5503,27.6528,713.05,11.1849,5.02,4.0499
1504000,29569.0,29.5411,29.9604,463.89,16.714,8.92,0.6409
1504059,34353.0,81.0235,27.0864,786.61,4.2389,13.8,5.3286
1504109,8115.0,47.5293,22.4892,619.04,8.7162,7.91,0.521
1504208,266533.0,89.9397,26.6965,1137.5,4.9816,7.53,22.2012
1504307,25971.0,41.6349,24.9163,634.79,7.0818,8.48,4.225
1504406,26573.0,57.3853,22.3723,576.69,16.5884,7.25,5.5164
1504422,111785.0,99.7263,26.0223,883.71,11.1305,4.36,22.1965
1504455,27094.0,39.6582,25.0314,763.1,2.4662,12.32,5.6505
1504505,27881.0,34.6365,30.7163,476.85,7.4385,20.17,4.0595
1504604,27198.0,71.417,29.5206,694.48,7.6101,6.85,6.7114
1504703,84094.0,39.4891,27.9806,626.33,7.0608,13.06,1.8148
1504752,23501.0,36.0112,24.7266,705.92,1.982,13.97,1.0163
1504802,60012.0,54.4125,25.9065,687.01,6.0939,9.25,0.748
1504901,45368.0,43.1163,28.1608,505.26,12.328,9.73,1.3915
1504950,20478.0,62.1643,27.5173,535.3,5.5229,19.13,0.4315
1504976,13955.0,50.5195,23.7836,824.87,5.4419,17.68,8.2258
1505007,12806.0,71.0995,21.7632,709.95,3.2122,11.89,7.0395
1505031,33638.0,80.0612,26.1104,1274.42,1.3634,8.67,18.2931
1505064,60732.0,53.825,26.7059,721.31,5.3483,15.13,8.2623
1505106,52229.0,60.6923,25.6199,652.59,4.9193,8.64,1.0181
1505205,33844.0,46.2977,29.0155,460.54,5.9361,12.81,0.2842
1505304,68294.0,69.3443,26.8179,727.72,8.2701,7.17,13.9619
1505403,17855.0,60.9577,24.9902,694.89,3.7656,12.72,1.1462
1505437,32467.0,84.686,25.2379,935.72,3.5872,11.69,5.8761
1505486,41097.0,46.1445,26.126,689.59,6.2712,14.66,0.4169
1505494,6885.0,68.6129,24.0378,856.12,13.2287,17.06,0.1818
1505502,105550.0,91.0943,27.2525,992.06,6.2732,7.99,21.3416
1505536,267836.0,96.4116,27.0203,1321.92,4.8598,5.37,28.3368
